,clear ability,score ability
u_36961,41.67992973263899,33.818931079101226
u_53393,70.86608830036063,61.54685342533928
u_107,33.38444282789736,7.394211892164534
u_8772,40.04722324060858,32.636408641688746
u_92869,42.30256504607534,19.948673801790378
u_1941,31.21709496667426,11.383975884119874
u_7651,27.56884134737002,14.328445033062609
u_39214,17.173170900134046,-8.633115474807761
u_49794,21.223020865833703,-8.97351308042358
u_153030,27.335407836219645,-5.151756396878546
u_147123,44.57648951184856,17.682705687987617
u_93223,22.097730715024205,-0.5021140218539061
u_55087,13.556075138443218,8.268539865435008
u_40552,59.9172356734114,35.40549961376156
u_775,21.311865827575083,-3.8881780687906846
u_1380,15.050216226415095,4.60628516360272
u_79492,25.88127338153678,0.7886800797777225
u_115315,28.876869184811696,3.370615236419378
u_143440,44.7082791771908,32.88798909830403
u_112604,38.40465306197247,-0.7559360274296226
u_15954,38.53842166374623,19.224565066694943
u_28618,19.122872506938453,-2.4120593637474466
u_80702,25.125663470924565,1.5948777113897932
u_82883,44.68243398468674,11.330691508798708
u_329,32.53383095372125,7.8559406049953004
u_79027,19.48872765142633,-4.946435272874523
u_20541,24.740702820969094,6.021781537735178
u_20672,33.87605032466748,17.64151558988946
u_139444,36.35258348411814,27.826156523811825
u_18150,31.958210373474067,17.075818041787137
u_61047,35.15028730463084,16.035489629548408
u_45328,44.40041943630498,13.17451199363049
u_160233,54.8799736549432,30.25525953696152
u_22830,22.219361344747988,-1.1673116316506547
u_68263,40.69320478327518,11.80422832909179
u_29205,4.367136398820149,-9.934311682766602
u_33665,9.442487050690545,-4.7141999312694445
u_14479,28.352070275977628,25.86542765520281
u_66840,22.900206827529736,16.874388322005014
u_148724,48.563159143848495,23.470837719196084
u_36149,28.46504702969296,5.4269267495557285
u_100485,21.18093220470935,-4.585493015268317
u_6568,33.83618289792809,19.076152544169247
u_724,39.38445233290923,18.381129889025438
u_135033,31.089781795825054,1.8233186805550194
u_54327,28.644167648916454,11.150764253392094
u_23771,33.08990975938568,7.507653409745408
u_79674,26.84729187030325,18.72032030834533
u_144668,38.875203515004586,16.986363477957966
u_32843,47.04761257895264,22.852395200704894
u_137279,23.063999119067493,22.13431998335321
u_158631,32.71529583718087,21.70202851881678
u_145967,23.84365151200822,-6.520337056132655
u_105050,20.875444842272664,-4.207265136553371
u_132970,17.14329694276033,-9.451984201099116
u_34030,28.82663244672596,1.1424504757173466
u_91822,30.933441250132688,15.348895027480879
u_140659,25.71176263086715,3.4803732951157507
u_38121,41.243946633180016,28.013729471028217
u_129939,16.96322305879006,-9.683161114816395
u_117869,14.616400263386998,6.811389099781115
u_134595,14.727531274633993,-4.14601620414579
u_107212,25.14427879935513,-6.30929996137126
u_142308,25.852526365611446,-5.716393785729501
u_8599,55.5758409875138,34.003019404284935
u_56120,41.28641233767071,33.631049803394625
u_142580,66.4524656075878,52.47887271226907
u_16658,42.73618943813944,4.564076030431665
u_82383,23.836235443416008,1.2622603190479103
u_64238,36.980854597058176,2.575938978935995
u_37691,39.48361708990118,16.872117447582415
u_64385,28.951747535099223,4.866124080498793
u_77223,38.432314447145174,2.4515105798043204
u_1305,33.10556254948872,11.223997061746672
u_74565,68.15695435030034,52.76091966917405
u_41288,28.465074555309076,16.96714432105064
u_27561,20.844477943756473,-2.591012857660737
u_122760,44.199270287162356,10.962951595387972
u_47138,41.99742042000922,3.3281871935712575
u_40297,27.71106495475123,-11.22880803013257
u_7015,42.991309262643306,21.902828077053698
u_17306,52.29110192104032,46.06067889043064
u_13585,37.00523024872359,12.559283762520359
u_59504,17.209581856971734,-2.417748641363941
u_165205,61.47032505210725,27.66976547624598
u_45807,26.553203104793997,5.583250250419473
u_160941,37.9111068085332,12.580416750156099
u_118087,30.490698813854834,7.150585928159906
u_103293,43.76187964329407,9.585517388304815
