index,level,title,sha256,md5,easy,hard,AAA,easy discrimination,hard discrimination,AAA discrimination,easy recommend,hard recommend,AAA recommend,lamp
27,sl4,藍より青い憧憬,03b2c93702c7dc206801d8489a87e88a36c0267ff0992805e50a975d501299c6,058922a838838d529da9766a2f683b84,27.77594936694251,41.791747545185224,13.695457092028747,0.2232395477407321,0.09137775618169275,0.22059782803820582,0.0,0.0,0.0,0.0
28,★★10,Wizdomiot [Withdammit],09b40d3e2c82e280c53f07bbf0e592a23af3d6419fb685d40ab3c5535919b075,05ad2a77b4a02201bf8b7a2fef83bb5c,80.76404516791581,88.75567161521535,97.21798680648901,0.29769392728963506,0.2911189949719948,0.1655307171276332,0.0,0.0,0.0,0.0
29,★★99,歪んだ樹 -和尚を超えし者-,1637980eb32921335a1f4827b0fb15874d6ee38908e66d4eba556f239866501f,05bb9025d815eef7a971bb1656381218,97.88594676809421,97.88594676809421,97.10620213333746,0.23128929776168966,0.23128929776168966,0.16222942990288017,0.0,0.0,0.0,0.0
30,★9,ハイ色乞語リ [DP CHALLENGER],1ef88803b68b2197750f4df8c2ffa35d4a3c8bee35e055af1f9ab0cc3be65529,05d569d03ea95e757d512cf19ba3507d,40.30244075792257,61.24303755770679,48.98327489106179,0.11008732664035212,0.2609202789536854,0.15097689007093107,0.0,0.0,0.0,0.0
31,★★99,玉の緒よ (双永呪),f7756c9c5d726a2ebe25263f831ebaf333908588a36f75684dfecadb03f33584,06035b002baf207599b7eb48f76e14b4,65.79792581916203,88.3658173187215,95.24431551827024,0.10279750537396257,0.2381570984098985,0.15368419158550328,0.0,0.0,0.0,0.0
32,★?,rainy beauty DENIM,ceb28f14f8e8fe9db30a9f55aed947134ac6ee76cb2e73be6d2760e10139cd07,06102db64b3404039898e21b59196e7f,54.67769828036933,68.6411305212486,60.310677673072796,0.0993295260054261,0.13776295800697713,0.13073048157806363,0.0,0.0,0.0,0.0
33,★7,BiBiRi [Heartbeat],7387d117c71a753d5f7003ae415008515f4e9e1358ac3c9ec9be5711307e4b39,065d1040777adf6c0f217bc4ff2cb6cd,32.08041674853856,54.62214169693393,47.46614257381492,0.12911426034985016,0.2503790085297068,0.16596907047825302,0.0,0.0,0.0,0.0
34,★2,First Creation [ANOTHER],2bb5e1c9d597e139d892b0fb34bed4136249970bbc350e58b4e8b0db5c4c97bf,0679dc2738135b8584327e7440aa6046,26.00741680164369,37.785909222231204,37.04749698694526,0.18569624678848842,0.20656146959620406,0.1539890932462219,0.0,0.0,0.0,0.0
35,sl3,現実をカットアップしてみた [DPA.NOTHER+],50ea781b49207aebab35451c7eef0fe58c73abf654b5e9e037143849f1a5e82e,069810a738deb692f8a9044f80a8502b,26.348574992039488,40.942470705719934,36.38534364326885,0.09099698229355255,0.13878328703879808,0.11262832308907185,0.0,0.0,0.0,0.0
36,★10,Demystify Feast [DP NORMAL],bdffcec85f7065689310b747753cf875f34ff55329e8fdc163c332f6c6f6271a,06aaaecc446ab49377e67a205be253a2,52.17358115935225,65.82709239382851,59.68245375089189,0.09869075251518883,0.24171307605477396,0.17632045821967327,0.0,0.0,0.0,0.0
37,★2,オリオンの歌 [DP Another],37ee9d3476d206a77f6712e70549e35d92b6f5e54103861cfcd2439ea78282fa,06cbd0de3a90da1bb5a24b3197880154,25.230076384250104,38.87388519812842,35.943646150499546,0.09379323608423774,0.13332984565033953,0.12521668175533815,0.0,0.0,0.0,0.0
38,★3,Flesvelka ANOTHER,dace41b393d2d2a9ddb447c2256d14a9d14a443efc075e619ecd512bce7151d7,06df9f0b605ddc60bb4b996307ab6bbb,30.124021334268193,41.202402662619264,40.35925545376935,0.14408732491492357,0.2105769497958739,0.15314219062568177,0.0,0.0,0.0,0.0
39,★7,ROCKET KID [DP ε=>■>],a676019d5d8d37f0a6ed541873c8c69a89b478c93120ef05c34b659c622cd62b,06f45c43624c1d6fc5b5d2aa49368566,39.46782811912382,55.325912964446985,50.58080579437484,0.1577077122755503,0.23133670050916813,0.1238922838187256,0.0,0.0,0.0,0.0
40,★★2,FATAL ERROR [notice 14],773d51b50984f79b91bec6a70e58f93446494aff55b09e691d7fd01bdfa2a144,06f86a760906b01757ea5a2e88d5fbf5,57.61106277418729,78.33347465987985,70.70471033978279,0.12107964222476333,0.2683707150413476,0.19026166380085235,0.0,0.0,0.0,0.0
41,★7,彼岸帰航 -idling mix-,bca3e41b43752a58e45660b361c637b914975adc552a6a0c7d1fa33fe8eddc7a,07979e06ec8e3a2b08dc5df8f1d39efe,30.67280748498613,52.751105773345884,57.83227726675941,0.13276509906380637,0.23928403286037833,0.14063597290437355,0.0,0.0,0.0,0.0
42,★5,G e n g a o z o _ D P A,4d16a6c1a36d7f5b5a979372d4815e4ae89f1b5dd6792e7dfbadcc47f2cfdee5,07e6ffc2a5c958474927bd8d937384e3,31.462370778639954,48.09478146580063,51.78057559092004,0.12634771800288988,0.20773226646006257,0.13997148375286678,0.0,0.0,0.0,0.0
43,★★1,平衡世界 Parallel World [White Eternity],c04c8b1a7617e5fcca89f4cb3e1f915e6dca23ffc6c5bd275345c4bf88f7217c,07ea69b9a864dac1a7e0535e28adccbc,53.990093614360624,69.48007285984002,69.10247639241322,0.14700808693135023,0.25639594501056095,0.16700983090183288,0.0,0.0,0.0,0.0
44,★★8,Bird Sprite [DP Spiritual],b8a9c19d7a2fd3b0d08871df834306284c6d3b117abe35292c566bf5f9e35f5d,0858a9a5ced84e08ad0444baa3cee717,80.08857122586191,83.4840178966645,79.01955080957907,0.314843984214514,0.3077785123198213,0.20853151652617785,0.0,0.0,0.0,0.0
45,★5,"Red-rize ""B172 mix"" // 14keys",19328c5bbc947bc0f4e3c5fdb9270866c9cbf42c5538c328ee5c6422a8db426c,085de50d52e924d5387c477b789368d1,30.356955344673175,48.05673406077481,40.58398771367574,0.13148655930872197,0.2240793233476837,0.16913750526950785,0.0,0.0,0.0,0.0
46,★★1,飛燕草 [DP hututher],48cbce126eec2404d4daa9a77cfa8eb659e23bc3945ac6c043bcf4907f86ff63,0876eb1d0cb0e0cdd774596103885fd1,49.342153598811315,64.12502077955088,58.963092791014375,0.11827370008830139,0.2395933682781817,0.15820691618470337,0.0,0.0,0.0,0.0
47,sl8,Tartaros　 -12m-,e3771cbdd0e016d9a38f22b467182088a992889404d7eb367708192f1715a73c,08e62a99f61826c978b45ec93c490dbf,45.0935304633056,56.65317797762927,45.59481994448607,0.14326561536383237,0.2711988894086304,0.17683471470967874,0.0,0.0,0.0,0.0
48,sl9,Mario Paint (Time Regression Mix for BMS) -4つ同時押し-,b4d67a170970bbb44ebd60fec2c89889348af80994589a9959348dd741e837fb,091001b3a2865a7c463f882de5377679,45.63429977301397,60.14303901614717,28.7837562553472,0.0848054359187657,0.19545396433847992,0.07069012701940203,0.0,0.0,0.0,0.0
49,sl4,Leviathan [Double],d7ae1d7ea19f0e0f7e7b30e125fbe7a85629554a2350d3f8f683e24947dec212,09170a7abead9fcb7fed236527017ad6,26.4419089274212,42.60491932822122,33.63286171491984,0.15000454456887793,0.13265826180333865,0.11333633335706829,0.0,0.0,0.0,0.0
50,sl6,PPBQ,1eb442f21586212e07cab28b685412a403e221bc07f70bcb59f2c760b6003d73,0927a8e429d04fb821bd166947c8bcd1,34.39870568990481,54.6693360095823,52.54728115587948,0.13508499489842973,0.27909955422535254,0.16084406794118883,0.0,0.0,0.0,0.0
51,★★7,?環の理 [dpkey],db5a4cfb02e7f6db26499a0f1002c2a98c9ec756a2b5c6a3dc57b03606f46d75,092aa3e55d78c2c36eae96cdc058fd62,73.95581787863803,83.14936267720124,65.4565817553589,0.1907844981153329,0.27895773663482976,0.20000239647180684,0.0,0.0,0.0,0.0
52,★5,Misty DASH ! [14KEYS ANOTHER],882ecc42cac7afa87b846c1b287c34efb30dd12cced32254f7957fd82a7d4379,09b31ac3a66695cc42732c5bf0c3255c,33.206063572018294,46.74746950821162,47.20183099925223,0.14124418257795981,0.22370090583840427,0.1507628587038308,0.0,0.0,0.0,0.0
53,sl5,Granblaze [DP ANOTHER],1495dce5c9b287e9f9123a8044019487ba8d34a1feaacb90c41249d498aba270,09d1c8ce11ca00865862fd4a94d00250,29.84082481508652,48.309800444430174,49.020395856482324,0.08501790880286304,0.13364579454672249,0.1593532526193624,0.0,0.0,0.0,0.0
54,sl8,Evanescent [DP ANOTHER],3dd5c2b1364047e776e590c02a50fb073d9b18197064738ef91a8113af18e70f,09ddc29dfc8ac70ceba82c7755efd84f,40.48065556069099,58.51120517926468,56.80892253077236,0.0876831658198316,0.27077992751926255,0.1558209885844443,0.0,0.0,0.0,0.0
55,★1,Act Beloved [DP LOVEPLUS+],664875db1542c1013034165d85d624a54fb6f267baeac92a01c297e9b28f1cd8,09f1502420f2065b6ba9865a8623a467,15.410186104681259,30.08910797806489,21.818684505776364,0.13872913320411773,0.16774625070223018,0.1327320475339609,0.0,0.0,0.0,0.0
56,sl5,Armillary Sphere,95c05dd926fbd5667ee25160fe2cba60db018ff8e7cd496349d67d5c23389b65,0a093471012b7ace35d8ebb1ff6ed1cb,31.97332084517863,50.06159516511748,20.848510481247764,0.1348255141651323,0.14327537944745689,0.11703715919564493,0.0,0.0,0.0,0.0
57,★6,KISS CANDY FLAVOR (DOUBLE PLAY FERVOR),7bc3ae345fc24255a4df7ee1fa6e6c85ce9191081ee4a7568be7509db7909bdc,0a410d70ef7b87377fa6e8e447c9e6b6,30.856367260869096,45.97076286856804,40.14252618560782,0.18100382593324507,0.2126343671458712,0.16148630468359676,0.0,0.0,0.0,0.0
58,sl0,Forgot Ya [LEGGENDARIA],c88ac7f891600d4f089a79fcab560a5bc6f001e74f7bcc89201b16f86b4e5e53,0a5033e3081589ffd65a6293f6421b14,10.459194366599109,25.850449148257976,19.236839993215813,0.23532061511397753,0.08660901751754467,0.10043405220290438,0.0,0.0,0.0,0.0
59,sl4,reflective moment [refraction],db8008a0b605ec908fe716e43a734d282476c306712b8eb776189aff74ec4564,0a5912c88b7801f3baece252ff2266af,18.090908873784354,41.80451637544924,52.118335163858575,0.2000603646763811,0.34127716729858204,0.18441957569333847,0.0,0.0,0.0,0.0
60,sl3,Fading Star [Sparkling],d79cf5d319a33467d824f1fa69247e6a9207d313e32a902107348b005a5723fd,0a7873bc384c10c0c88f5059efb04ec6,24.64364261188093,41.66431581322376,34.94510591793672,0.22732358237815137,0.2940052896459948,0.06576519774699041,0.0,0.0,0.0,0.0
61,★8,Eternally [14REAL],5136276be0ff0576ccb70030b61a63b59113dd12907aaea8d9824e863f7e4a16,0a7faa71a4d9d17be6ecf9a16fb66dd8,41.25172533661453,55.99275919243465,60.77906492951919,0.1426456248091799,0.24475442216390186,0.1486041980399228,0.0,0.0,0.0,0.0
62,★★3,桜花撩乱 [DP INSANE],245392cb74aa3f4bab387d7a4b924b9b3dba47ed683e554a37b01ea9abd86ca4,0a96201faf16d73b0b9981fbf28496d6,63.756329679441414,71.192684336312,59.5481608120318,0.2005211614812706,0.2871677214962858,0.147374850233378,0.0,0.0,0.0,0.0
63,sl6,8bit Voyager [DPBF],7bd10fd7209a9545d5b2e2ce5f0d5b4a4c78bcae183ef9526c61833c2a9212cd,0ac8c71c69c6f6d4305b967b07f1c217,27.850334086595847,52.42638772776439,47.62592925028965,0.0957649664169509,0.26258340185681994,0.16235678671646303,0.0,0.0,0.0,0.0
64,★9,悲伽羅香「水蓮」〜花弁〜 [難14],ab138d9767edbffaa21448283a89b5b30ac3d89da0ba6956910034604315c51f,0b09fa8f907b995f255be1259fbcb2a5,42.50144750546773,58.81975366225913,50.27647171457891,0.1429424986493261,0.2248333664528229,0.13751134599386872,0.0,0.0,0.0,0.0
65,★★5,WHIRLWIND [Twin Blast],a258144dc76242398aea272c75e6e670669b357a5a3a9a881219f70fe5b6071e,0b1234798d2da9bbde81c1eaf6111005,61.47887398958651,74.06298343429258,69.26088152472768,0.19737752206274972,0.2380014517730247,0.20070051861747013,0.0,0.0,0.0,0.0
66,★1,Crystalized [DP ANOTHER],4fbde1c49e632ce88d31ba8630f61649fb63e3f3f40115c7609e7e4e0954b3f9,0b6e9b3ad6bdb344c58958d046156c9b,17.31457452645822,31.58789759511007,23.76722270967931,0.20000361547607792,0.22808747238573854,0.1516783428737091,0.0,0.0,0.0,0.0
67,★★3,闘気に満ちた草原 (dpkey),43b64e2bcebe4d15b23a31517b17632506eccef3e3a29a85f0d96bb79f92e5f8,0b87c2721a24decadf650078f5b611c7,58.32316783088669,80.10327638004097,79.59819905728394,0.20283015826411221,0.25474488540273116,0.1683573659132785,0.0,0.0,0.0,0.0
68,★★9,Ascension to Heaven [Collapse],00c6a93ce5ffae2af067a0c5086e3e216e2880210742855c1e11df463ef19afe,0b8d3eb005fc831fb404b7f336531665,80.95020515549912,88.69002588721473,74.72704776916478,0.3030498839171597,0.27964623948033057,0.11091047946873138,0.0,0.0,0.0,0.0
69,★★8,"織姫(Independent from God, Everlasting love remix) [DP 駆逐ロ級flagship]",2be510ce6da85ca005c56fb30039a7e2e051fb51c521c53fc83b2444b47ed730,0b97609f0cccc37ecb14bc60e2a0c285,88.52668920071872,88.52668920071872,95.0331836752737,0.26691691096178505,0.26691691096178505,0.16307429466223558,0.0,0.0,0.0,0.0
70,sl11,Sweet Little Chocolate [DP-soijoy],699b09bd03dafbd2e87af89d6584b994d07efed0b97f96d4ee57da6873bb498a,0ba6de050ce06847b737564948b61654,47.81745209768211,64.44262217787492,48.771795462368345,0.22444959022338315,0.21247701877140945,0.20955993542385795,0.0,0.0,0.0,0.0
71,sl6,Hi-Fi-Story [DP ANOTHER],bb06dc25c1cb8995d5a002701d4d706e58b5d10f0d92349c466baa4254d89675,0bafbf864710b9c6fbc3c77349383f41,25.239538149222987,50.55838932085481,53.98781776555381,0.1250531701618442,0.1703635001375923,0.12619100271533504,0.0,0.0,0.0,0.0
72,★★2,insincere smiles （あ！),b851dd9f09529332cd10295a98f1a0e6eb3f18cbf19ab57614a29f44c93bfdb4,0bcc42a94ba9cccfec6b577d4e7ca6f6,53.07741951895032,71.77453425176938,70.27551872215932,0.13300075133369071,0.2655172682389507,0.14139101870998558,0.0,0.0,0.0,0.0
73,★6,The Azure Box [DP Maniac],6b246c2ba34b3543ff462510d23c1305eaa42461029e281a08c44f3d4f1e7f0c,0bdf5cfde10dfd51fa8e23b232a0e631,27.500557913502462,43.088039204499275,46.09526073780226,0.16059730840625566,0.18607905702977862,0.14695957807313617,0.0,0.0,0.0,0.0
74,★★8,High-Priestess [OVERKILL],6c97f961d6147d7c41f853ac908bf2d0c0971ea496593e697c86ebed2b555d47,0c2d6be5ae8b45d60c4fb3cf56a576ac,84.26089879214861,88.25806600055657,93.43828491943911,0.20451534278380404,0.24780508934752338,0.1558305753907894,0.0,0.0,0.0,0.0
